3150	1042
2735	1710
2964	1862
146	1557
145	1056
90	1195
64	1091
88	2737
2551	1229
211	1588
2440	1822
2587	1320
11	1138
2887	2013
2884	2095
363	2446
418	2429
2648	1098
24	2278
106	1612
59	1407
3168	1822
40	1149
2686	1978
643	2669
3298	1651
2327	1266
116	1172
127	1579
188	2334
138	2301
2203	1651
183	1251
2227	1657
132	1134
2271	2016
3162	1299
28	1279
3209	1925
2372	2114
563	2356
102	1069
82	1589
90	1462
2294	1085
193	1349
212	1256
2834	1672
2270	1075
583	2358
2205	2036
3188	1672
450	2438
2737	1721
107	1142
3212	1216
109	1099
3084	1638
117	1434
226	1089
2308	1665
809	2511
328	2356
234	2393
2802	1733
56	1163
2918	1692
3262	1771
2206	2079
2383	1671
65	1210
257	2278
86	1504
3334	1782
3267	1764
202	2457
3362	1424
199	1605
612	2583
2961	1865
163	1291
3288	1804
115	1106
2633	1934
2640	1079
342	2347
62	2734
2863	1647
3245	2049
594	2244
244	1348
3157	1940
2790	1746
107	1114
210	1448
2804	1761
75	1278
2735	1639
3116	2118
467	2344
3244	1765
178	1332
126	1241
329	2365
56	1233
248	1216
2744	2029
126	1437
230	1413
211	1061
928	2630
3120	1118
2914	1647
114	1145
74	1039
2467	1777
2199	2039
127	1136
256	1583
2578	1818
227	1219
3230	2095
213	1084
2798	1829
179	1424
258	1144
3017	1800
3209	1163
2238	1695
2434	1962
928	2627
400	2282
1000	2734
2803	1907
2220	1336
845	2399
618	2180
3021	1532
2726	1651
256	1254
56	1420
682	2435
2376	1664
411	2319
2740	1737
229	1484
136	1396
2337	1685
79	2326
58	2388
183	1042
2323	1932
51	1212
2334	1978
2423	1229
488	2443
155	1360
2854	1646
3220	1216
193	1064
2677	1772
2876	1762
2224	1904
403	2568
3120	1739
145	1234
2524	1814
3000	1797
421	2411
3394	1737
633	2490
642	2667
246	1351
3188	1242
158	1106
57	1572
2308	1710
148	1239
71	1411
2811	1682
2565	2137
956	2772
3228	1637
3122	1877
3027	1626
2236	1730
19	1145
145	1444
551	2591
89	1095
2319	1645
64	1321
278	2183
207	1186
23	1458
3300	1772
85	1178
2853	1970
