Item,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63
metyrapone,2.0406547,2.4443758,4.5050755,2.320043,0.0,3.3355908,2.1594846,3.0665984,3.5354576,0.010828383,0.0,0.0,1.9374123,3.6213472,0.0,0.0,2.5190458,4.1326995,4.2868013,2.1230006,0.0,0.0,0.0,2.091058,0.0,0.7301858,0.13857226,0.0,0.0,0.0,0.0,0.0,0.0,1.712111,0.0,0.0,1.5733775,0.0,0.0,0.0,1.376594,2.7751853,0.0,2.203908,0.0,2.1627657,0.12126718,0.0,2.4380922,3.2368896,0.0,0.19434327,1.9837072,0.7027092,0.0,0.0,0.0,1.0724075,0.0,1.427373,3.7796361,1.5699843,0.0,0.0
miconazole,0.5348779,2.8521004,2.2446802,3.3648536,0.0,3.8410654,1.8210115,1.4949611,3.2789102,1.8727833,0.0,2.3590493,2.4544501,3.4425063,0.0,0.0,4.554823,4.3677864,3.5960615,2.098208,0.0,1.0375248,0.0,3.149677,0.45024118,0.0,2.305857,0.0,0.0,0.0,0.0,0.0,0.0,1.6404924,0.0,0.0,1.9129498,0.0,0.0,0.0,2.5274916,5.12472,0.0,1.8391331,1.2189543,4.5970683,1.4754972,0.0,1.57758,1.104407,0.0,1.2462425,2.784278,1.2231138,0.0,0.0,0.0,1.6431565,0.0,3.4053946,5.6706223,0.9872862,0.0,0.0
midazolam,1.5715027,2.9567907,3.5438125,3.3221037,0.0,4.2204823,2.2244537,2.6890807,3.6182625,1.0689075,0.0,1.2377704,2.549156,3.7565193,0.0,0.0,4.132887,4.752522,4.3869925,2.4725351,0.0,0.0,0.0,2.9930522,0.07949217,0.0,1.5132899,0.0,0.0,0.0,0.0,0.0,0.0,1.8916945,0.0,0.0,2.0629313,0.0,0.0,0.0,2.2072256,4.660267,0.0,2.1709123,0.057787903,4.0110455,0.8663142,0.0,2.1588044,2.2950876,0.0,0.63700545,2.839744,0.83852935,0.0,0.0,0.0,1.6165963,0.0,2.9204137,5.452606,1.2478383,0.0,0.0
midodrine,1.6031396,2.8024771,4.298562,2.787333,0.0,3.369739,2.3513334,2.6512635,3.892532,0.5165132,0.0,0.0,2.211694,3.7534518,0.0,0.0,2.920323,4.466393,4.396758,2.0035324,0.0,0.0,0.0,2.5733054,0.0,0.3548337,0.4642055,0.0,0.0,0.0,0.0,0.0,0.0,1.7764243,0.0,0.0,1.7194705,0.0,0.0,0.0,1.7928811,3.5384932,0.0,2.3569794,0.0,2.6440895,0.4587066,0.0,2.3546317,2.9790595,0.0,0.7674347,2.1736042,1.0233363,0.0,0.0,0.0,1.2583361,0.0,1.8945322,4.464908,1.5745776,0.0,0.0
mitoxantrone,0.0,2.729177,1.6807309,3.027359,0.0,2.8688843,1.6762016,0.3067806,3.2945719,2.2460034,0.0,2.1541686,2.158863,3.2593524,0.0,0.0,4.126604,3.8660996,2.94626,1.3764515,0.0,1.7139963,0.0,3.1290822,0.48751017,0.0,2.2030592,0.0,0.0,0.0,0.0,0.0,0.0,1.3472912,0.0,0.0,1.5383674,0.0,0.0,0.0,2.57459,4.7757626,0.0,1.8085452,1.8888131,4.068288,1.9133066,0.0,1.251285,0.5147094,0.0,2.0237603,2.178118,1.8997813,0.0,0.0,0.0,1.4611746,0.0,3.180161,5.234205,1.0734229,0.0,0.0
morphine,1.8044806,2.9079256,4.108636,3.0823722,0.0,3.967948,2.3368313,2.9340155,3.8001485,0.6654835,0.0,0.4073261,2.4179335,3.825738,0.0,0.0,3.5726502,4.7028546,4.564804,2.3770585,0.0,0.0,0.0,2.7693653,0.0,0.1279146,0.93200403,0.0,0.0,0.0,0.0,0.0,0.0,1.9196846,0.0,0.0,1.9525273,0.0,0.0,0.0,1.9683297,4.122033,0.0,2.31155,0.0,3.3302941,0.57035315,0.0,2.359177,2.816907,0.0,0.5639922,2.5747614,0.8495703,0.0,0.0,0.0,1.4595678,0.0,2.4071538,5.025775,1.4244337,0.0,0.0
ipratropium,1.4150338,3.0160544,3.4788241,3.3863506,0.0,4.1551113,2.2469568,2.5182414,3.6866205,1.1999584,0.0,1.2960752,2.5816174,3.7806354,0.0,0.0,4.176847,4.786042,4.354853,2.397394,0.0,0.0,0.0,3.0798397,0.091153584,0.0,1.5754185,0.0,0.0,0.0,0.0,0.0,0.0,1.8726306,0.0,0.0,2.0567312,0.0,0.0,0.0,2.286312,4.7636943,0.0,2.1962118,0.19842866,4.074645,0.96207917,0.0,2.1209197,2.2089846,0.0,0.79741144,2.8366244,0.9453422,0.0,0.0,0.0,1.6305717,0.0,2.979641,5.5356297,1.2686181,0.0,0.0
naloxone,1.3130257,3.0586286,3.5472555,3.3861635,0.0,4.016565,2.2951632,2.402,3.793215,1.2295746,0.0,1.1417212,2.5778732,3.8114042,0.0,0.0,4.070032,4.79695,4.357657,2.2919033,0.0,0.0,0.0,3.1080697,0.04199932,0.0,1.4872684,0.0,0.0,0.0,0.0,0.0,0.0,1.8554964,0.0,0.0,2.0183833,0.0,0.0,0.0,2.3022811,4.7219734,0.0,2.2527103,0.20440063,3.9588356,0.9806507,0.0,2.125403,2.2488372,0.0,0.9385753,2.7622077,1.0499804,0.0,0.0,0.0,1.6033307,0.0,2.9045672,5.499383,1.3317605,0.0,0.0
naltrexone,1.16473,3.0671985,3.3446243,3.437466,0.0,4.013684,2.2485535,2.2394154,3.7483127,1.3778205,0.0,1.373604,2.5970805,3.7788692,0.0,0.0,4.196612,4.777318,4.2618833,2.2668343,0.0,0.13833211,0.0,3.1692705,0.10967954,0.0,1.654451,0.0,0.0,0.0,0.0,0.0,0.0,1.8281972,0.0,0.0,2.021492,0.0,0.0,0.0,2.3761392,4.862612,0.0,2.2085047,0.40273422,4.1234765,1.0861121,0.0,2.042001,2.058904,0.0,1.0240469,2.7995334,1.093461,0.0,0.0,0.0,1.6297042,0.0,3.0325625,5.598282,1.2865596,0.0,0.0
naproxen,2.0272903,2.5013824,4.5086904,2.3899748,0.0,3.3855906,2.1956713,3.0682542,3.5837183,0.057074167,0.0,0.0,1.985873,3.6520333,0.0,0.0,2.5956502,4.203787,4.3336945,2.1407807,0.0,0.0,0.0,2.1571946,0.0,0.68948096,0.18021421,0.0,0.0,0.0,0.0,0.0,0.0,1.7351918,0.0,0.0,1.6103822,0.0,0.0,0.0,1.429576,2.8847728,0.0,2.2299962,0.0,2.2484915,0.15101698,0.0,2.4481955,3.2295146,0.0,0.23155233,2.0346353,0.7229953,0.0,0.0,0.0,1.1083118,0.0,1.4952313,3.8892455,1.571531,0.0,0.0
